	state	user_numbers
0	AL	306
1	AK	1332
2	AZ	414
3	AR	2376
4	CA	21276
5	CO	3384
6	CT	900
7	DC	1818
8	DE	252
9	FL	4950
10	GA	3582
11	HI	342
12	ID	918
13	IL	846
14	IN	5526
15	IA	1890
16	KS	792
17	KY	702
18	LA	540
19	ME	6552
20	MD	1656
21	MA	270
22	MI	2628
23	MN	2322
24	MS	2448
25	MO	360
26	MT	288
27	NE	3096
28	NV	360
29	NH	684
30	NJ	450
31	NM	1548
32	NY	450
33	NC	720
34	ND	10188
35	OH	3834
36	OK	936
37	OR	3474
38	PA	5598
39	RI	522
40	SC	1008
41	SD	234
42	TN	1476
43	TX	9108
44	UT	2052
45	VT	3366
46	VA	144
47	WA	9018
48	WV	1872
49	WI	288
50	WY	108
